,YEAR,EXPERIENCE,EMPLOYMENT,TITLE,LOCATION,COMPANYSIZE,SALARY
580,2023,Senior,Full time,Data Analyst,US,Medium,145000
581,2023,Senior,Full time,Data Analyst,US,Medium,65000
582,2023,Senior,Full time,Data Engineer,US,Medium,165000
583,2023,Senior,Full time,Data Engineer,US,Medium,132300
584,2023,Senior,Full time,Data Engineer,US,Medium,179170
585,2023,Senior,Full time,Data Engineer,US,Medium,94300
586,2023,Senior,Full time,Analytics Engineer,US,Medium,152500
587,2023,Senior,Full time,Analytics Engineer,US,Medium,116450
588,2023,Senior,Full time,Data Engineer,US,Medium,247300
589,2023,Senior,Full time,Data Engineer,US,Medium,133800
590,2023,Senior,Full time,Research Engineer,US,Medium,203000
591,2023,Senior,Full time,Research Engineer,US,Medium,133000
593,2023,Senior,Full time,Data Scientist,US,Medium,120000
594,2023,Senior,Full time,Analytics Engineer,US,Medium,289800
595,2023,Senior,Full time,Analytics Engineer,US,Medium,214000
596,2023,Senior,Full time,Analytics Engineer,US,Medium,179820
597,2023,Senior,Full time,Analytics Engineer,US,Medium,143860
598,2023,Senior,Full time,Machine Learning Engineer,US,Medium,283200
599,2023,Senior,Full time,Machine Learning Engineer,US,Medium,188800
601,2023,Senior,Full time,Analytics Engineer,US,Medium,214200
602,2023,Senior,Full time,Data Engineer,US,Medium,185900
603,2023,Senior,Full time,Data Engineer,US,Medium,129300
604,2023,Senior,Full time,Data Engineer,US,Medium,252000
605,2023,Senior,Full time,Data Engineer,US,Medium,129000
606,2023,Senior,Full time,Data Engineer,US,Medium,161800
607,2023,Senior,Full time,Data Engineer,US,Medium,141600
608,2023,Senior,Full time,Machine Learning Engineer,US,Large,342300
609,2023,Senior,Full time,Machine Learning Engineer,US,Large,176100
610,2023,Senior,Full time,Data Scientist,US,Medium,138784
611,2023,Senior,Full time,Data Scientist,US,Medium,83270
612,2023,Senior,Full time,Data Analyst,US,Medium,204500
613,2023,Senior,Full time,Data Analyst,US,Medium,138900
614,2023,Senior,Full time,Machine Learning Engineer,US,Medium,318300
615,2023,Senior,Full time,Machine Learning Engineer,US,Medium,212200
616,2023,Senior,Full time,Data Engineer,US,Medium,95000
617,2023,Senior,Full time,Data Engineer,US,Medium,75000
618,2023,Senior,Full time,Data Scientist,US,Medium,195000
619,2023,Senior,Full time,Data Scientist,US,Medium,160000
620,2023,Senior,Full time,Analytics Engineer,US,Medium,230000
621,2023,Senior,Full time,Analytics Engineer,US,Medium,143200
622,2023,Senior,Full time,Data Engineer,US,Medium,145000
624,2023,Senior,Full time,Data Analyst,US,Medium,168400
625,2023,Senior,Full time,Data Analyst,US,Medium,105200
628,2023,Senior,Full time,Machine Learning Engineer,US,Medium,190000
630,2023,Senior,Full time,Analytics Engineer,US,Medium,150000
631,2023,Senior,Full time,Analytics Engineer,US,Medium,120000
633,2023,Senior,Full time,Data Engineer,US,Medium,120000
636,2023,Senior,Full time,Data Analyst,CF,Medium,54685
637,2023,Senior,Full time,Data Analyst,CF,Medium,42533
638,2023,Senior,Full time,Data Engineer,US,Medium,241000
639,2023,Senior,Full time,Data Engineer,US,Medium,155000
640,2023,Senior,Full time,Data Engineer,US,Medium,220000
641,2023,Senior,Full time,Data Engineer,US,Medium,190000
642,2023,Senior,Full time,Data Engineer,US,Medium,160000
644,2023,Senior,Full time,Data Scientist,US,Medium,228000
645,2023,Senior,Full time,Data Scientist,US,Medium,186000
646,2023,Senior,Full time,Data Scientist,US,Medium,190000
648,2023,Senior,Full time,Data Architect,US,Medium,180000
649,2023,Senior,Full time,Data Architect,US,Medium,115000
650,2023,Senior,Full time,Data Architect,US,Medium,200000
652,2023,Senior,Full time,Data DevOps Engineer,FR,Small,53654
653,2023,Senior,Full time,Data Engineer,US,Medium,200000
654,2023,Senior,Full time,Data Engineer,US,Medium,150000
655,2023,Senior,Full time,Computer Vision Engineer,US,Medium,215000
656,2023,Senior,Full time,Computer Vision Engineer,US,Medium,170000
657,2023,Senior,Full time,Machine Learning Engineer,US,Medium,247500
658,2023,Senior,Full time,Machine Learning Engineer,US,Medium,172200
659,2023,Senior,Full time,Data Scientist,CA,Medium,224000
660,2023,Senior,Full time,Data Scientist,CA,Medium,176000
661,2023,Senior,Full time,Data Analyst,US,Medium,120000
662,2023,Senior,Full time,Data Analyst,US,Medium,75000
663,2023,Senior,Full time,Applied Data Scientist,FI,Medium,68318
664,2023,Senior,Full time,Data Analyst,US,Medium,140000
666,2023,Senior,Full time,Data Engineer,US,Medium,128000
672,2023,Senior,Full time,Data Quality Analyst,US,Medium,100000
673,2023,Senior,Full time,Data Quality Analyst,US,Medium,80000
674,2023,Senior,Full time,Data Scientist,US,Medium,250000
675,2023,Senior,Full time,Data Scientist,US,Medium,162500
677,2023,Senior,Full time,Data Engineer,US,Medium,100000
678,2023,Senior,Full time,Data Scientist,US,Medium,203500
679,2023,Senior,Full time,Data Scientist,US,Medium,152000
680,2023,Senior,Full time,Data Scientist,US,Large,239000
681,2023,Senior,Full time,Data Scientist,US,Large,122900
683,2023,Senior,Full time,Data Scientist,US,Medium,145000
684,2023,Senior,Full time,Data Science Manager,US,Medium,191765
685,2023,Senior,Full time,Data Science Manager,US,Medium,134236
686,2023,Senior,Full time,Analytics Engineer,US,Medium,190000
687,2023,Senior,Full time,Analytics Engineer,US,Medium,112000
688,2023,Senior,Full time,Data Analyst,US,Medium,135000
689,2023,Senior,Full time,Data Analyst,US,Medium,105500
690,2023,Senior,Full time,Research Engineer,US,Medium,293000
691,2023,Senior,Full time,Research Engineer,US,Medium,185000
692,2023,Senior,Full time,Data Analyst,US,Medium,80000
693,2023,Senior,Full time,Data Analyst,US,Medium,70000
696,2023,Senior,Full time,Data Scientist,US,Medium,175000
698,2023,Senior,Full time,Data Analyst,US,Medium,200000
699,2023,Senior,Full time,Data Analyst,US,Medium,148500
702,2023,Senior,Full time,Data Engineer,US,Large,240500
703,2023,Senior,Full time,Data Engineer,US,Large,123700
704,2023,Senior,Full time,Analytics Engineer,US,Medium,152900
705,2023,Senior,Full time,Analytics Engineer,US,Medium,117100
706,2023,Senior,Full time,Analytics Engineer,US,Medium,173000
707,2023,Senior,Full time,Analytics Engineer,US,Medium,113000
708,2023,Senior,Full time,Applied Scientist,US,Large,260000
712,2023,Senior,Full time,Research Scientist,US,Medium,130000
713,2023,Senior,Full time,Research Scientist,US,Medium,110000
714,2023,Senior,Full time,Applied Scientist,US,Medium,205000
715,2023,Senior,Full time,Applied Scientist,US,Medium,184000
716,2023,Senior,Full time,Data Analyst,US,Medium,149500
717,2023,Senior,Full time,Data Analyst,US,Medium,127075
720,2023,Senior,Full time,Data Engineer,US,Medium,219535
721,2023,Senior,Full time,Data Engineer,US,Medium,146115
723,2023,Senior,Full time,Data Scientist,US,Medium,135000
726,2023,Senior,Full time,Data Scientist,US,Medium,199000
727,2023,Senior,Full time,Data Scientist,US,Medium,162000
730,2023,Senior,Full time,Data Analyst,US,Medium,187000
731,2023,Senior,Full time,Data Analyst,US,Medium,128000
732,2023,Senior,Full time,Research Scientist,US,Medium,210000
733,2023,Senior,Full time,Research Scientist,US,Medium,136000
735,2023,Senior,Full time,Data Scientist,US,Medium,100000
736,2023,Senior,Full time,Data Engineer,US,Medium,179000
737,2023,Senior,Full time,Data Engineer,US,Medium,109000
739,2023,Senior,Full time,Data Scientist,US,Medium,180000
740,2023,Senior,Full time,Data Analyst,US,Medium,142000
742,2023,Senior,Full time,Data Manager,US,Medium,198800
743,2023,Senior,Full time,Data Manager,US,Medium,105200
744,2023,Senior,Full time,Data Analyst,US,Medium,125000
745,2023,Senior,Full time,Data Analyst,US,Medium,112000
746,2023,Senior,Full time,Data Scientist,US,Medium,210000
747,2023,Senior,Full time,Data Scientist,US,Medium,155000
748,2023,Senior,Full time,Data Manager,US,Medium,115000
749,2023,Senior,Full time,Data Manager,US,Medium,86000
750,2023,Senior,Full time,Data Scientist,US,Medium,165000
751,2023,Senior,Full time,Data Scientist,US,Medium,140000
752,2023,Senior,Full time,Data Analyst,US,Medium,139000
753,2023,Senior,Full time,Data Analyst,US,Medium,106000
754,2023,Senior,Freelancer,Machine Learning Researcher,UA,Small,50000
755,2023,Senior,Full time,Data Architect,US,Medium,250500
756,2023,Senior,Full time,Data Architect,US,Medium,159500
761,2023,Senior,Full time,Data Analyst,CA,Medium,175000
762,2023,Senior,Full time,Data Analyst,CA,Medium,135000
763,2023,Senior,Full time,Machine Learning Engineer,US,Medium,257000
764,2023,Senior,Full time,Machine Learning Engineer,US,Medium,147000
765,2023,Senior,Full time,Data Engineer,US,Medium,222000
767,2023,Senior,Full time,Data Scientist,US,Medium,203000
768,2023,Senior,Full time,Data Scientist,US,Medium,133200
769,2023,Senior,Full time,Data Engineer,US,Medium,221000
770,2023,Senior,Full time,Data Engineer,US,Medium,147000
773,2023,Senior,Full time,Data Scientist,US,Medium,185900
774,2023,Senior,Full time,Data Scientist,US,Medium,129300
775,2023,Senior,Full time,Data Scientist,US,Medium,238000
776,2023,Senior,Full time,Data Scientist,US,Medium,156000
777,2023,Senior,Full time,Machine Learning Engineer,US,Medium,304000
778,2023,Senior,Full time,Machine Learning Engineer,US,Medium,199000
780,2023,Senior,Full time,Data Engineer,US,Medium,130000
782,2023,Senior,Full time,Data Scientist,US,Medium,110000
783,2023,Senior,Full time,Data Engineer,US,Medium,240000
784,2023,Senior,Full time,Data Engineer,US,Medium,183600
785,2023,Senior,Full time,Data Engineer,US,Medium,250000
787,2023,Senior,Full time,Data Analytics Manager,US,Medium,160000
788,2023,Senior,Full time,Data Analytics Manager,US,Medium,120000
789,2023,Senior,Full time,Machine Learning Engineer,US,Medium,289076
790,2023,Senior,Full time,Machine Learning Engineer,US,Medium,202353
793,2023,Senior,Full time,Data Analyst,US,Medium,155000
797,2023,Senior,Full time,Data Scientist,US,Medium,157750
798,2023,Senior,Full time,Data Scientist,US,Medium,104650
801,2023,Senior,Full time,Data Analyst,US,Medium,105000
802,2023,Senior,Full time,Data Analyst,US,Medium,90000
807,2023,Senior,Full time,Machine Learning Engineer,US,Medium,241000
808,2023,Senior,Full time,Machine Learning Engineer,US,Medium,181000
809,2023,Senior,Full time,Data Scientist,US,Medium,252000
810,2023,Senior,Full time,Data Scientist,US,Medium,154000
811,2023,Senior,Full time,Data Scientist,US,Medium,191765
812,2023,Senior,Full time,Data Scientist,US,Medium,134236
819,2023,Senior,Full time,Data Engineer,US,Medium,146000
821,2023,Senior,Full time,Machine Learning Engineer,US,Medium,170000
823,2023,Senior,Full time,Data Analyst,US,Medium,208450
824,2023,Senior,Full time,Data Analyst,US,Medium,170550
825,2023,Senior,Full time,Machine Learning Engineer,US,Medium,125000
826,2023,Senior,Full time,Machine Learning Engineer,US,Medium,100000
827,2023,Senior,Full time,Data Scientist,US,Medium,200000
829,2023,Senior,Full time,Data Scientist,IE,Medium,171250
830,2023,Senior,Full time,Data Scientist,IE,Medium,113750
835,2023,Senior,Full time,Data Analyst,US,Medium,153600
836,2023,Senior,Full time,Data Analyst,US,Medium,100500
839,2023,Senior,Full time,Machine Learning Engineer,CA,Medium,115000
840,2023,Senior,Full time,Machine Learning Engineer,CA,Medium,95000
841,2023,Senior,Full time,Data Engineer,US,Medium,203100
842,2023,Senior,Full time,Data Engineer,US,Medium,114500
847,2023,Senior,Full time,Data Scientist,CA,Medium,258000
848,2023,Senior,Full time,Data Scientist,CA,Medium,190000
855,2023,Senior,Full time,Data Engineer,US,Medium,223250
856,2023,Senior,Full time,Data Engineer,US,Medium,178600
857,2023,Senior,Full time,Data Scientist,US,Medium,297300
858,2023,Senior,Full time,Data Scientist,US,Medium,198200
861,2023,Senior,Full time,Data Scientist,US,Medium,317070
862,2023,Senior,Full time,Data Scientist,US,Medium,170730
865,2023,Senior,Full time,AI Developer,UA,Medium,108000
866,2023,Senior,Full time,AI Developer,UA,Medium,60000
867,2023,Senior,Full time,Data Engineer,US,Medium,171250
868,2023,Senior,Full time,Data Engineer,US,Medium,113750
871,2023,Senior,Full time,Data Scientist,US,Medium,225000
873,2023,Senior,Full time,Data Engineer,US,Medium,230000
874,2023,Senior,Full time,Data Engineer,US,Medium,124500
877,2023,Senior,Full time,Data Analyst,US,Medium,175000
879,2023,Senior,Full time,Data Analyst,US,Medium,148700
880,2023,Senior,Full time,Data Analyst,US,Medium,125600
883,2023,Senior,Full time,Research Scientist,US,Medium,200000
884,2023,Senior,Full time,Research Scientist,US,Medium,150000
885,2023,Senior,Full time,Data Analyst,US,Medium,185000
886,2023,Senior,Full time,Data Analyst,US,Medium,120250
888,2023,Senior,Full time,Data Scientist,US,Medium,183000
889,2023,Senior,Full time,Data Architect,US,Medium,170000
890,2023,Senior,Full time,Data Architect,US,Medium,125000
891,2023,Senior,Full time,Research Scientist,US,Medium,250000
893,2023,Senior,Full time,AI Scientist,IL,Large,423834
894,2023,Senior,Full time,Machine Learning Engineer,US,Medium,216000
895,2023,Senior,Full time,Machine Learning Engineer,US,Medium,184000
896,2023,Senior,Full time,Data Engineer,US,Medium,180000
902,2023,Senior,Full time,Data Scientist,US,Medium,173000
903,2023,Senior,Full time,Data Scientist,US,Medium,132000
904,2023,Senior,Full time,Data Analyst,US,Medium,208049
905,2023,Senior,Full time,Data Analyst,US,Medium,128500
908,2023,Senior,Full time,Data Engineer,US,Medium,167500
909,2023,Senior,Full time,Data Engineer,US,Medium,106500
912,2023,Senior,Full time,Data Analyst,US,Medium,190000
913,2023,Senior,Full time,Data Analyst,US,Medium,95000
915,2023,Senior,Full time,Data Analyst,US,Medium,106800
918,2023,Senior,Full time,Machine Learning Scientist,US,Medium,220000
919,2023,Senior,Full time,Machine Learning Scientist,US,Medium,170000
924,2023,Senior,Full time,Data Engineer,CA,Medium,160000
925,2023,Senior,Full time,Data Engineer,CA,Medium,145000
927,2023,Senior,Full time,Data Engineer,US,Medium,111000
932,2023,Senior,Full time,Data Scientist,US,Medium,201036
933,2023,Senior,Full time,Data Scientist,US,Medium,134024
934,2023,Senior,Full time,Data Analyst,US,Medium,165000
936,2023,Senior,Full time,Data Scientist,US,Medium,172000
937,2023,Senior,Full time,Data Scientist,US,Medium,115000
938,2023,Senior,Full time,Data Engineer,US,Medium,163800
939,2023,Senior,Full time,Data Engineer,US,Medium,126000
942,2023,Senior,Full time,Data Engineer,US,Medium,139500
943,2023,Senior,Full time,Data Engineer,US,Medium,109400
946,2023,Senior,Full time,Data Engineer,US,Large,205600
947,2023,Senior,Full time,Data Engineer,US,Large,105700
950,2023,Senior,Full time,Data Scientist,US,Medium,239748
951,2023,Senior,Full time,Data Scientist,US,Medium,159832
952,2023,Senior,Full time,Data Scientist,US,Medium,186300
953,2023,Senior,Full time,Data Scientist,US,Medium,102500
957,2023,Senior,Full time,Data Scientist,US,Medium,126000
958,2023,Senior,Full time,Data Architect,US,Medium,149040
959,2023,Senior,Full time,Data Architect,US,Medium,113900
960,2023,Senior,Full time,Data Engineer,US,Medium,153600
961,2023,Senior,Full time,Data Engineer,US,Medium,106800
962,2023,Senior,Full time,Data Engineer,US,Medium,172600
963,2023,Senior,Full time,Data Engineer,US,Medium,107900
964,2023,Senior,Full time,Data Analyst,US,Medium,180180
965,2023,Senior,Full time,Data Analyst,US,Medium,106020
966,2023,Senior,Full time,Data Architect,US,Medium,376080
967,2023,Senior,Full time,Data Architect,US,Medium,213120
970,2023,Senior,Full time,Data Analyst,US,Medium,206500
971,2023,Senior,Full time,Data Analyst,US,Medium,121600
972,2023,Senior,Full time,Data Engineer,US,Medium,260000
974,2023,Senior,Full time,Cloud Database Engineer,US,Large,170000
975,2023,Senior,Full time,Applied Machine Learning Scientist,US,Large,90000
976,2023,Senior,Full time,Data Engineer,US,Medium,275000
978,2023,Senior,Full time,Data Analyst,US,Medium,115934
979,2023,Senior,Full time,Data Analyst,US,Medium,81666
983,2023,Senior,Full time,Machine Learning Engineer,US,Medium,120000
984,2023,Senior,Full time,Research Engineer,US,Medium,200000
985,2023,Senior,Full time,Research Engineer,US,Medium,175000
986,2023,Senior,Full time,Data Architect,GB,Medium,138000
987,2023,Senior,Full time,Data Architect,GB,Medium,92000
988,2023,Senior,Full time,Data Manager,CO,Medium,65000
989,2023,Senior,Full time,Data Manager,CO,Medium,48000
990,2023,Senior,Full time,Data Analyst,US,Medium,110000
992,2023,Senior,Full time,Analytics Engineer,US,Medium,130000
993,2023,Senior,Full time,Analytics Engineer,US,Medium,87000
994,2023,Senior,Full time,Data Science Manager,US,Medium,299500
995,2023,Senior,Full time,Data Science Manager,US,Medium,245100
996,2023,Senior,Full time,Data Engineer,US,Medium,147100
998,2023,Senior,Full time,Data Engineer,US,Medium,168400
999,2023,Senior,Full time,Data Engineer,US,Medium,105200
1006,2023,Senior,Full time,Data Scientist,US,Medium,205000
1010,2023,Senior,Full time,Research Scientist,US,Medium,141288
1011,2023,Senior,Full time,Research Scientist,US,Medium,94192
1012,2023,Senior,Full time,Data Infrastructure Engineer,US,Medium,184000
1013,2023,Senior,Full time,Data Infrastructure Engineer,US,Medium,143000
1015,2023,Senior,Full time,Data Analyst,US,Medium,55000
1016,2023,Senior,Full time,Analytics Engineer,US,Medium,275300
1017,2023,Senior,Full time,Analytics Engineer,US,Medium,183500
1030,2023,Senior,Full time,Data Analyst,US,Medium,169000
1031,2023,Senior,Full time,Data Analyst,US,Medium,110600
1032,2023,Senior,Full time,Data Operations Engineer,US,Medium,193000
1033,2023,Senior,Full time,Data Operations Engineer,US,Medium,136850
1034,2023,Senior,Full time,Machine Learning Engineer,US,Medium,139500
1035,2023,Senior,Full time,Machine Learning Engineer,US,Medium,109400
1036,2023,Senior,Full time,Data Engineer,US,Medium,276000
1037,2023,Senior,Full time,Data Engineer,US,Medium,178500
1038,2023,Senior,Full time,Machine Learning Engineer,GB,Medium,195652
1039,2023,Senior,Full time,Machine Learning Engineer,GB,Medium,101228
1040,2023,Senior,Full time,Data Engineer,GB,Medium,136956
1041,2023,Senior,Full time,Data Engineer,GB,Medium,101228
1046,2023,Senior,Full time,ML Engineer,CA,Medium,260000
1047,2023,Senior,Full time,ML Engineer,CA,Medium,110000
1048,2023,Senior,Full time,Analytics Engineer,US,Medium,170000
1054,2023,Senior,Full time,Machine Learning Engineer,US,Medium,163800
1055,2023,Senior,Full time,Machine Learning Engineer,US,Medium,126000
1060,2023,Senior,Full time,Data Architect,US,Medium,188500
1061,2023,Senior,Full time,Data Architect,US,Medium,117000
1062,2023,Senior,Full time,Data Analyst,US,Medium,250000
1063,2023,Senior,Full time,Data Analyst,US,Medium,138000
1064,2023,Senior,Full time,Deep Learning Researcher,DE,Large,123405
1067,2023,Senior,Full time,BI Analyst,US,Medium,160000
1068,2023,Senior,Full time,BI Analyst,US,Medium,135000
1071,2023,Senior,Full time,Data Analyst,US,Medium,127000
1072,2023,Senior,Full time,Data Analyst,US,Medium,94000
1073,2023,Senior,Full time,Data Scientist,US,Medium,210550
1074,2023,Senior,Full time,Data Scientist,US,Medium,153300
1075,2023,Senior,Full time,Data Analyst,US,Medium,161500
1076,2023,Senior,Full time,Data Analyst,US,Medium,119500
1080,2023,Senior,Full time,Data Scientist,US,Medium,148750
1081,2023,Senior,Full time,Data Analytics Specialist,US,Medium,105000
1082,2023,Senior,Full time,Data Analytics Specialist,US,Medium,85000
1083,2023,Senior,Full time,Research Scientist,US,Medium,215000
1084,2023,Senior,Full time,Research Scientist,US,Medium,146300
1085,2023,Senior,Full time,Machine Learning Engineer,US,Medium,153400
1086,2023,Senior,Full time,Machine Learning Engineer,US,Medium,122700
1088,2023,Senior,Full time,Data Scientist,US,Medium,123900
1091,2023,Senior,Full time,Data Analyst,US,Medium,185900
1092,2023,Senior,Full time,Data Analyst,US,Medium,121700
1095,2023,Senior,Freelancer,Software Data Engineer,AU,Medium,50000
1100,2023,Senior,Full time,Data Scientist,US,Medium,149076
1101,2023,Senior,Full time,Data Scientist,US,Medium,82365
1109,2023,Senior,Full time,Data Analyst,US,Medium,85500
1112,2023,Senior,Full time,Data Scientist,US,Medium,201000
1113,2023,Senior,Full time,Data Scientist,US,Medium,122000
1122,2023,Senior,Full time,Machine Learning Engineer,US,Medium,204500
1123,2023,Senior,Full time,Machine Learning Engineer,US,Medium,142200
1124,2023,Senior,Full time,Data Manager,US,Medium,155000
1125,2023,Senior,Full time,Data Manager,US,Medium,140000
1126,2023,Senior,Full time,Data Engineer,US,Medium,121500
1127,2023,Senior,Full time,Data Engineer,US,Medium,78000
1129,2023,Senior,Full time,Data Scientist,US,Medium,136000
1130,2023,Senior,Full time,Data Analyst,US,Medium,180000
1134,2023,Senior,Full time,Data Engineer,US,Medium,170000
1136,2023,Senior,Full time,Data Engineer,US,Medium,154000
1137,2023,Senior,Full time,Data Engineer,US,Medium,116000
1145,2023,Senior,Full time,Data Scientist,US,Medium,156400
1162,2023,Senior,Full time,Data Scientist,US,Medium,260000
1172,2023,Senior,Full time,Head of Data,PT,Large,75116
1175,2023,Senior,Full time,Data Analyst,US,Medium,122000
1176,2023,Senior,Full time,Data Analyst,US,Medium,93800
1177,2023,Senior,Full time,Data Science Manager,MX,Medium,150000
1178,2023,Senior,Full time,Data Science Manager,MX,Medium,90000
1181,2023,Senior,Full time,BI Data Analyst,DE,Medium,71897
1184,2023,Senior,Full time,Data Analyst,IN,Small,15806
1191,2023,Senior,Full time,Data Science Consultant,TH,Medium,29453
1195,2023,Senior,Full time,Data Scientist,US,Medium,104000
1200,2023,Senior,Full time,Data Analyst,US,Medium,152380
1201,2023,Senior,Full time,Data Analyst,US,Medium,121904
1206,2023,Senior,Full time,Data Architect,US,Medium,168400
1207,2023,Senior,Full time,Data Architect,US,Medium,105200
1208,2023,Senior,Full time,Machine Learning Engineer,US,Medium,128280
1209,2023,Senior,Full time,Machine Learning Engineer,US,Medium,106900
1210,2023,Senior,Full time,Research Engineer,DE,Small,107309
1211,2023,Senior,Full time,Research Engineer,DE,Small,85847
1212,2023,Senior,Full time,Machine Learning Engineer,DE,Medium,275000
1213,2023,Senior,Full time,Machine Learning Engineer,DE,Medium,174000
1218,2023,Senior,Full time,Data Analyst,US,Medium,170500
1219,2023,Senior,Full time,Data Analyst,US,Medium,85000
1220,2023,Senior,Full time,Data Manager,GB,Medium,72946
1221,2023,Senior,Full time,Data Manager,GB,Medium,54365
1222,2023,Senior,Full time,Data Engineer,US,Medium,80000
1223,2023,Senior,Full time,Data Engineer,US,Medium,65000
1224,2023,Senior,Full time,Data Engineer,US,Medium,124740
1225,2023,Senior,Full time,Data Engineer,US,Medium,65488
1226,2023,Senior,Full time,Data Quality Analyst,US,Medium,72200
1227,2023,Senior,Full time,Data Quality Analyst,US,Medium,64980
1230,2023,Senior,Full time,Data Analyst,US,Medium,179975
1231,2023,Senior,Full time,Data Analyst,US,Medium,86466
1233,2023,Senior,Full time,Data Engineer,US,Medium,90000
1238,2023,Senior,Full time,Data Science Manager,US,Medium,175000
1239,2023,Senior,Full time,Data Science Manager,US,Medium,120000
1240,2023,Senior,Full time,Data Analyst,US,Medium,230000
1245,2023,Senior,Full time,Data Manager,US,Medium,120000
1246,2023,Senior,Full time,Machine Learning Infrastructure Engineer,US,Medium,205920
1247,2023,Senior,Full time,Machine Learning Infrastructure Engineer,US,Medium,171600
1250,2023,Senior,Full time,Data Engineer,US,Medium,265000
1256,2023,Senior,Full time,Data Engineer,US,Medium,167580
1257,2023,Senior,Full time,Data Engineer,US,Medium,87980
1258,2023,Senior,Full time,Data Engineer,US,Medium,202000
1259,2023,Senior,Full time,Data Engineer,US,Medium,135000
1264,2023,Senior,Full time,Data Engineer,US,Medium,104000
1266,2023,Senior,Full time,Research Engineer,US,Medium,230000
1267,2023,Senior,Full time,Research Engineer,US,Medium,148000
1268,2023,Senior,Full time,Machine Learning Engineer,CA,Medium,269000
1269,2023,Senior,Full time,Machine Learning Engineer,CA,Medium,158000
1270,2023,Senior,Full time,Analytics Engineer,US,Medium,197000
1271,2023,Senior,Full time,Analytics Engineer,US,Medium,106000
1272,2023,Senior,Full time,Data Engineer,US,Medium,290000
1273,2023,Senior,Full time,Data Engineer,US,Medium,210000
1274,2023,Senior,Full time,Data Engineer,US,Medium,192000
1275,2023,Senior,Full time,Data Engineer,US,Medium,172800
1276,2023,Senior,Full time,Data Scientist,US,Medium,300240
1277,2023,Senior,Full time,Data Scientist,US,Medium,200160
1280,2023,Senior,Full time,Analytics Engineer,US,Medium,175000
1281,2023,Senior,Full time,Analytics Engineer,US,Medium,140000
1282,2023,Senior,Full time,Data Manager,US,Medium,169000
1283,2023,Senior,Full time,Data Manager,US,Medium,100000
1284,2023,Senior,Full time,Data Scientist,US,Medium,370000
1286,2023,Senior,Full time,Data Analyst,US,Small,110000
1287,2023,Senior,Full time,Data Analyst,US,Small,80000
1290,2023,Senior,Full time,Data Engineer,US,Medium,137500
1292,2023,Senior,Full time,Machine Learning Engineer,US,Medium,323300
1293,2023,Senior,Full time,Machine Learning Engineer,US,Medium,184700
1294,2023,Senior,Full time,Machine Learning Engineer,US,Medium,186000
1295,2023,Senior,Full time,Machine Learning Engineer,US,Medium,153088
1298,2023,Senior,Full time,Machine Learning Engineer,US,Medium,240000
1299,2023,Senior,Full time,Machine Learning Engineer,US,Medium,180000
1304,2023,Senior,Full time,Data Engineer,US,Medium,144000
1305,2023,Senior,Full time,Data Engineer,US,Medium,66000
1306,2023,Senior,Full time,Data Architect,US,Medium,228000
1307,2023,Senior,Full time,Data Architect,US,Medium,120000
1308,2023,Senior,Full time,Machine Learning Software Engineer,US,Medium,180000
1309,2023,Senior,Full time,Machine Learning Software Engineer,US,Medium,90000
1310,2023,Senior,Full time,Data Scientist,US,Medium,126500
1311,2023,Senior,Full time,Data Scientist,US,Medium,78000
1314,2023,Senior,Full time,Machine Learning Software Engineer,US,Medium,272000
1315,2023,Senior,Full time,Machine Learning Software Engineer,US,Medium,170000
1316,2023,Senior,Full time,Data Engineer,US,Medium,259000
1323,2023,Senior,Full time,Data Scientist,US,Medium,139500
1326,2023,Senior,Full time,Data Science Lead,US,Medium,247500
1327,2023,Senior,Full time,Data Science Lead,US,Medium,172200
1332,2023,Senior,Full time,Machine Learning Infrastructure Engineer,FR,Medium,107309
1333,2023,Senior,Full time,Machine Learning Infrastructure Engineer,FR,Medium,75116
1342,2023,Senior,Full time,Machine Learning Engineer,US,Medium,288000
1343,2023,Senior,Full time,Machine Learning Engineer,US,Medium,140000
1346,2023,Senior,Full time,Data Scientist,US,Medium,215050
1348,2023,Senior,Full time,Data Architect,US,Medium,198000
1349,2023,Senior,Full time,Data Architect,US,Medium,114000
1352,2023,Senior,Full time,Data Scientist,US,Medium,209300
1353,2023,Senior,Full time,Data Scientist,US,Medium,182200
1356,2023,Senior,Full time,Machine Learning Engineer,US,Medium,147100
1357,2023,Senior,Full time,Machine Learning Engineer,US,Medium,90700
1360,2023,Senior,Full time,Data Analyst,US,Medium,227000
1361,2023,Senior,Full time,Data Analyst,US,Medium,108000
1365,2023,Senior,Full time,Data Architect,US,Medium,160000
1368,2023,Senior,Full time,Data Analyst,ES,Medium,55800
1369,2023,Senior,Full time,Data Analyst,ES,Medium,51508
1370,2023,Senior,Full time,Data Engineer,US,Medium,226700
1371,2023,Senior,Full time,Data Engineer,US,Medium,133300
1374,2023,Senior,Full time,Big Data Architect,GB,Large,151902
1376,2023,Senior,Full time,Data Analyst,US,Medium,52500
1378,2023,Senior,Full time,Data Engineer,US,Medium,162500
1386,2023,Senior,Full time,Data Engineer,US,Medium,63000
1387,2023,Senior,Full time,Research Scientist,ES,Medium,253750
1388,2023,Senior,Full time,Research Scientist,ES,Medium,169200
1393,2023,Senior,Full time,Data Engineer,US,Medium,213580
1394,2023,Senior,Full time,Data Engineer,US,Medium,163625
1395,2023,Senior,Full time,Data Engineer,IE,Medium,101943
